ID,Tag,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,FvFm,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T3-5-1,T3-5-1_F,T3,5,1,Acropora hemprichii,37.86072744,F,18,0,197.4769388,197.0173469,194.2402041,86.78099996,61.97475196,40.77296327
C-5-2,C-5-2_I,C,5,2,Acropora hemprichii,31.81342634,I,0,0.532,193.4885714,189.7432653,186.6583674,50.43553916,24.55693882,16.31828136
C-5-2,C-5-2_Middle,C,5,2,Acropora hemprichii,31.81342634,Middle,7,0.313,NA,NA,NA,NA,NA,NA
C-5-2,C-5-2_F,C,5,2,Acropora hemprichii,31.81342634,F,18,0.448,196.94,194.8730612,192.0306122,49.10343848,23.28209699,15.08573699
T1-5-2,T1-5-2_I,T1,5,2,Acropora hemprichii,34.09503478,I,0,0.457,193.4885714,189.7432653,186.6583674,40.50952983,18.02252956,17.75262101
T1-5-2,T1-5-2_Middle,T1,5,2,Acropora hemprichii,34.09503478,Middle,7,0.303,NA,NA,NA,NA,NA,NA
T1-5-2,T1-5-2_F,T1,5,2,Acropora hemprichii,34.09503478,F,18,0.392,196.94,194.8730612,192.0306122,40.93167852,19.05415499,17.59846693
T2-5-2,T2-5-2_I,T2,5,2,Acropora hemprichii,35.57866298,I,0,0.519,193.4885714,189.7432653,186.6583674,53.03184745,26.29174316,16.52138259
T2-5-2,T2-5-2_Middle,T2,5,2,Acropora hemprichii,35.57866298,Middle,7,0.097,NA,NA,NA,NA,NA,NA
T2-5-2,T2-5-2_F,T2,5,2,Acropora hemprichii,35.57866298,F,18,0.29,195.9604082,194.9604082,191.0730612,86.06206309,63.29915966,54.8482767
T3-5-2,T3-5-2_I,T3,5,2,Acropora hemprichii,36.32067772,I,0,0.528,193.4885714,189.7432653,186.6583674,44.24908393,22.55353943,14.75134954
T3-5-2,T3-5-2_Middle,T3,5,2,Acropora hemprichii,36.32067772,Middle,7,0,NA,NA,NA,NA,NA,NA
T3-5-2,T3-5-2_F,T3,5,2,Acropora hemprichii,36.32067772,F,18,0.144,195.9604082,194.9604082,191.0730612,80.6807481,57.79273535,45.85897691
C-6-1,C-6-1_I,C,6,1,Stylophora pistillata,31.81368785,I,0,0.412,193.4885714,189.7432653,186.6583674,52.63563786,35.89674343,10.8078017
C-6-1,C-6-1_Middle,C,6,1,Stylophora pistillata,31.81368785,Middle,7,0.343,NA,NA,NA,NA,NA,NA
C-6-1,C-6-1_F,C,6,1,Stylophora pistillata,31.81368785,F,18,0.322,197.4918367,195.7571429,192.8591837,76.91661202,54.6080603,22.2520341
T1-6-1,T1-6-1_I,T1,6,1,Stylophora pistillata,33.65498611,I,0,0.424,193.4885714,189.7432653,186.6583674,54.16058856,35.4130395,11.70861699
T1-6-1,T1-6-1_Middle,T1,6,1,Stylophora pistillata,33.65498611,Middle,7,0.374,NA,NA,NA,NA,NA,NA
